screen_name,state,URLs
indgop,Indiana,"http://bit.ly/1GZgOsy,http://bit.ly/1JajUuZ,http://bit.ly/1JTVkjZ,http://bit.ly/1Jv7mn0,http://bit.ly/1KYiQ2b,http://bit.ly/1MxQm1l,http://bit.ly/1nq3FaK,http://bit.ly/1ny8LSf,http://bit.ly/1OdCB4C,http://bit.ly/1Oe6MLl,http://bit.ly/1OGYoY9,http://bit.ly/1PaSqcp,http://bit.ly/1RaD4dJ,http://bit.ly/1SKAyLQ,http://bit.ly/1SKxv6o,http://bit.ly/1SxKice,http://bit.ly/1Z8PF60,http://bit.ly/205feSo,http://bit.ly/20gKuxT,http://bit.ly/232yfqY,http://bit.ly/233222N,http://bucshon.house.gov/press-release/dr-bucshon-responds-sotu-0,http://content.govdelivery.com/accounts/INDOT/bulletins/12e2359#.Voqck-yZWuN.twitter,http://costs--bit.ly/20gKuxT,http://goo.gl/tsgU0s,http://in.gov/gov,http://indgop.org/join-your-county-party,http://indgop.org/second-amendment,http://indy.st/1mYEivY,http://indy.st/1nCQzal,http://indy.st/1OUqonW,http://indy.st/1PJeAXS,http://indy.st/1PVsRMI,http://indy.st/1TEDxTr,http://indypolitics.org/2016/01/04/senate-gop-candidates-to-debate-january-16/,http://njour.nl/s/235905?oref=t.co,http://on.fb.me"
JebBush,na,"http://abcnews.go.com/live?stream=3,http://bbc.in/1O4rj50,http://bigstory.ap.org/article/9ab669cada3b47cfaa3e6793a3ca6faa/kerry-rejects-iranian-criticism-us-sanctions,http://bloom.bg/1S6BolG,http://cnn.it/1PjYgMF,http://fxn.ws/1KhdVGS,http://fxn.ws/1OBNQGB,http://jeb.cm/1JCJqQR,http://jeb.cm/1JcwK34,http://jeb.cm/1JFGses,http://jeb.cm/1JKaRbu,http://jeb.cm/1JKayOa,http://jeb.cm/1JlfbgY,http://jeb.cm/1JZHkum,http://jeb.cm/1JZWnPu,http://jeb.cm/1K2nadK,http://jeb.cm/1K5BWG4,http://jeb.cm/1kAcsob,http://jeb.cm/1kAcsV6,http://jeb.cm/1KIpRS7,http://jeb.cm/1KnjP9i,http://jeb.cm/1kPSxlg,http://jeb.cm/1KwXkPw,http://jeb.cm/1KzPZi5,http://jeb.cm/1mDbqsS,http://jeb.cm/1MTuckV,http://jeb.cm/1mWa3FN,http://jeb.cm/1nlROKy,http://jeb.cm/1OCSmV6,http://jeb.cm/1Pe3k79,http://jeb.cm/1QqUGiM,http://jeb.cm/1QvhzDr,http://jeb.cm/1QwhHkm,http://jeb.cm/1Rx9jo7,http://jeb.cm/1SJNW1K,http://jeb.cm/1SK3zY2,http://jeb.cm/1SkIWly,http://jeb.cm/1Sxatin,http://jeb.cm/1SZA6IN,http://jeb.cm/1T2wYMc,http://jeb.cm/1Tabf54,http://jeb.cm/1TPJN"
JohnKasich,na,"http://americanresearchgroup.com/pres2016/primary/rep/nhrep.html,http://cnn.it/1OIGuit,http://cnn.it/1PVkgy4,http://cnnpolitics.com,http://JohnKasich.com,http://JohnKasich.com/App,http://JohnKasich.com/Deadline,http://JohnKasich.com/DesMoinesDebate,http://JohnKasich.com/Donate,http://JohnKasich.com/IowaCaucus,http://johnkasich.com/nationalsecurity/,http://JohnKasich.com/NHDeployment,http://JohnKasich.com/Pennsylvania,http://JohnKasich.com/PhoneFromHome,http://JohnKasich.com/ResultsNow,http://JohnKasich.com/Volunteer,http://money.cnn.com/2015/08/13/news/companies/ford-truck-mexico-ohio/,http://OhioMeansJobs.com,http://on.fb.me/20bFjmf,http://overtimepolitics.com/donald-trump-leads-john-kasich-by-15-points-in-new-hampshire-30-15/,http://ow.ly/i/fGqtN,http://qctimes.com/news/local/government-and-politics/elections/quad-city-times-endorsements/collection_b1224d11-6259-5514-9875-4337caac01b6.html,http://SinkingJeb.com,http://thehill.com/policy/energy-environment/257078-kasich-energy-plan-would-repeal-obama-rules-b"
KansasSenateGOP,Kansas,"http://kansas.gov,http://www.kansansforjustice.com,http://www.kslegresearch.org/KLRD-web/Publications/AppropriationsRevenue/KansasStatewideEfficiencyInterimRpt2016Jan12.pdf,http://www.morningsun.net/news/20160122/law-would-require-local-vote-on-taxes,http://www.therepublic.com/view/story/d2beb395c7ff43d8842c3ceab9e57869/KS--Legislature-Opening-Day"
KYSenateGOP,Kentucky,"http://bit.ly/1RRwdF4,http://bit.ly/1Z3TMux,http://bit.ly/CapitolConnection,http://events.r20.constantcontact.com/register/event?oeidk=a07eawsn0pm7cab2565&llr=5tik4keab,http://fb.me/4iuBAN8NQ,http://KET.org/legislature,http://ket.org/live,http://ow.ly/XJs3e,http://www.ket.org/legislature,http://www.ket.org/legislature/,http://www.ket.org/legislature/?legislation=senate&autoplay=true,http://www.ket.org/live,http://www.ket.org/public-affairs/on-the-eve-of-a-new-legislative-session/,http://www.ket.org/public-affairs/senate-president-robert-stivers/,http://www.lrc.ky.gov/legislative_calendar/index.aspx,https://kysenategop.wordpress.com/2016/01/06/kentucky-senate-majority-files-priority-legislation-for-2016-regular-session/,https://kysenategop.wordpress.com/2016/01/21/kentucky-senate-cancels-january-22-session-due-to-winter-storm-jonas/,https://kysenategop.wordpress.com/2016/01/30/senator-robert-stivers-on-the-passing-of-georgia-powers/,https://m.facebook.com/story.php?story_fbid=1691579921087649&id=16913169044472"
lagop,Louisiana,"http://klfy.com/2015/12/30/dardenne-raising-taxes-among-options-to-fix-louisianas-budget-crisis/,http://taxfoundation.org/article/state-and-local-sales-tax-rates-2015,http://theadvocate.com/news/14688093-93/louisiana-gov-john-bel-edwards-keeps-bobby-jindal-era-salaries-he-criticized-as-exorbitant,http://thehayride.com/2016/01/fail-not-only-did-john-bel-edwards-lie-about-who-gets-the-credit-for-fixing-i-10-in-baton-rouge-he-lied-about-every-aspect-of-the-story/,http://thehayride.com/2016/01/john-bel-edwards-dhh-secretary-is-absolutely-awful-and-her-appointment-shows-he-lied-during-his-campaign/,http://www.lagop.com/blog/2016/1/13/edwards-medicaid-expansion-is-bad-fiscal-and-health-care-policy,http://www.lagop.com/blog/2016/1/14/obama-doesnt-have-a-clue-about-louisiana-but-he-did-stay-at-a-holiday-inn-express-last-night,http://www.lagop.com/blog/2016/1/19/hillary-clintion-cashing-in-on-landrieu-favors,http://www.lagop.com/blog/2016/1/8/become-a-delegate-to-the-2016-rnc-national-convention,https://twitter.com/la"
mainegop,Maine,"http://bdn.to/wmqn,http://mainesenatepresident.com/emergency-drug-legislation-signed-into-law/,http://mehousegop.org/2016/01/19/house-republican-leaders-statements-on-passage-of-drug-treatment-bill/,http://www.mainegop.com/chairmans-statement-on-passing-of-senator-lois-snowe-mello/#.VqZqaNrDS4o.twitter,http://www.mainegop.com/irresponsible-emily-how-emily-cains-past-rhetoric-about-iran-deal-proves-her-position-was-irresponsible/#.VqZY4ohse-o.twitter,http://www.mainegop.com/shifty_shady/#.VpgNIhb0pvY.twitter,http://www.themainewire.com/2016/01/fight-heroin-epidemic/,https://twitter.com/reppoliquin/status/686616769151299584"
marcorubio,na,"http://apne.ws/1mWNUHS,http://cash.me/$MarcoRubio,http://cnn.it/1OOa6OP,http://cnn.it/1OSRqzh,http://cnn.it/1W5qFXY,http://dmreg.co/1PuIjPh,http://freebeacon.com/national-security/clinton-considered-secret-plan-to-spark-palestinian-protests/,http://marcorubio.com,http://marcorubio.com/debate,http://marcorubio.com/volunteer,http://natl.re/yPU9ga,http://news.yahoo.com/only-ap-oldest-christian-monastery-073600243.html,http://on.wsj.com/1IG4Yvt,http://rub.io/2JiCAx,http://rub.io/4MBp3o,http://rub.io/4rHQcr,http://rub.io/6gJrmb,http://rub.io/6rz2XY,http://rub.io/6WPTeL,http://rub.io/6yCcEZ,http://rub.io/7hk4Ak,http://rub.io/8ESHQH,http://rub.io/8k38q7,http://rub.io/9WpntW,http://rub.io/AzGoQ7,http://rub.io/AZN5ud,http://rub.io/BApt1d,http://rub.io/bjZkaU,http://rub.io/BPqT2D,http://rub.io/Byah7v,http://rub.io/C3VSuF,http://rub.io/cHSpH7,http://rub.io/CNuSiJ,http://rub.io/commit,http://rub.io/d9i3a7,http://rub.io/debate,http://rub.io/DEMctp,http://rub.io/Dfujmv,http://rub.io/DiDaKx,http://rub.io/DqDVsd,http://rub.i"
massgop,Massachusetts,"http://bit.ly/1NkrrJN,http://cnn.it/1JgCjgQ,http://scituate.wickedlocal.com/news/20160106/legislative-highlights-hedlund-recalls-most-rewarding-work-within-district,http://www.bostonglobe.com/metro/2016/01/19/baker-gets-signatuure-charter-school-petition/8Nigg1Kw1KAcCsej849SGO/story.html,http://www.bostonglobe.com/metro/2016/01/20/sen-joyce-pay-nearly-resolve-issues-related-using-campaign-funds-for-son-party/OAVHqGDMDmYuCxFU2SqTKL/story.html,http://www.bostonglobe.com/news/politics/2016/01/20/state-party-chairman-leaning-toward-sanders/OCoe5qLhvBR58gaeeP5H1I/story.html,http://www.bostonherald.com/news/columnists/hillary_chabot/2016/01/chabot_elizabeth_warren_warming_to_idea_of_a_ge_in_boston,http://www.bostonherald.com/opinion/editorials/2015/12/editorial_toast_to_local_control,http://www.bostonherald.com/opinion/editorials/2016/01/editorial_beast_that_must_be_tamed,http://www.bostonherald.com/opinion/editorials/2016/01/editorial_senate_should_step_up,http://www.bostonherald.com/radioplayer/,http://www.eaglet"
mdsenategop,Maryland,http://fb.me/2lxSVFeCF
