Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
60	 1.0000 V	 0 V	 700.0 mV	 0 V	 160.840 uA	 13.40333333 uA/um
61	 1.0000 V	 0 V	 800.0 mV	 0 V	 163.760 uA	 13.64666667 uA/um
62	 1.0000 V	 0 V	 900.0 mV	 0 V	 166.410 uA	 13.86750000 uA/um
63	 1.0000 V	 0 V	 1.0000 V	 0 V	 168.780 uA	 14.06500000 uA/um
64	 1.0000 V	 0 V	 1.1000 V	 0 V	 170.990 uA	 14.24916667 uA/um
65	 1.0000 V	 0 V	 1.2000 V	 0 V	 173.040 uA	 14.42000000 uA/um
66	 1.0000 V	 0 V	 1.3000 V	 0 V	 174.960 uA	 14.58000000 uA/um
67	 1.0000 V	 0 V	 1.4000 V	 0 V	 176.790 uA	 14.73250000 uA/um
68	 1.0000 V	 0 V	 1.5000 V	 0 V	 178.510 uA	 14.87583333 uA/um
69	 1.0000 V	 0 V	 1.6000 V	 0 V	 180.160 uA	 15.01333333 uA/um
70	 1.0000 V	 0 V	 1.7000 V	 0 V	 181.700 uA	 15.14166667 uA/um
71	 1.0000 V	 0 V	 1.8000 V	 0 V	 183.210 uA	 15.26750000 uA/um
72	 1.0000 V	 0 V	 1.9000 V	 0 V	 184.640 uA	 15.38666667 uA/um
73	 1.0000 V	 0 V	 2.0000 V	 0 V	 186.010 uA	 15.50083333 uA/um
74	 1.0000 V	 0 V	 2.1000 V	 0 V	 187.340 uA	 15.61166667 uA/um
75	 1.0000 V	 0 V	 2.2000 V	 0 V	 188.640 uA	 15.72000000 uA/um
76	 1.0000 V	 0 V	 2.3000 V	 0 V	 189.840 uA	 15.82000000 uA/um
77	 1.0000 V	 0 V	 2.4000 V	 0 V	 191.050 uA	 15.92083333 uA/um
78	 1.0000 V	 0 V	 2.5000 V	 0 V	 192.230 uA	 16.01916667 uA/um
79	 1.5000 V	 0 V	 0 V	 0 V	 672.040 nA	 56.00333333 nA/um
80	 1.5000 V	 0 V	 100.0 mV	 0 V	 201.360 uA	 16.78000000 uA/um
81	 1.5000 V	 0 V	 200.0 mV	 0 V	 371.830 uA	 30.98583333 uA/um
82	 1.5000 V	 0 V	 300.0 mV	 0 V	 505.400 uA	 42.11666667 uA/um
83	 1.5000 V	 0 V	 400.0 mV	 0 V	 599.990 uA	 49.99916667 uA/um
84	 1.5000 V	 0 V	 500.0 mV	 0 V	 660.270 uA	 55.02250000 uA/um
85	 1.5000 V	 0 V	 600.0 mV	 0 V	 696.190 uA	 58.01583333 uA/um
86	 1.5000 V	 0 V	 700.0 mV	 0 V	 718.070 uA	 59.83916667 uA/um
87	 1.5000 V	 0 V	 800.0 mV	 0 V	 732.500 uA	 61.04166667 uA/um
88	 1.5000 V	 0 V	 900.0 mV	 0 V	 742.960 uA	 61.91333333 uA/um
89	 1.5000 V	 0 V	 1.0000 V	 0 V	 751.250 uA	 62.60416667 uA/um
90	 1.5000 V	 0 V	 1.1000 V	 0 V	 758.130 uA	 63.17750000 uA/um
91	 1.5000 V	 0 V	 1.2000 V	 0 V	 764.050 uA	 63.67083333 uA/um
92	 1.5000 V	 0 V	 1.3000 V	 0 V	 769.300 uA	 64.10833333 uA/um
93	 1.5000 V	 0 V	 1.4000 V	 0 V	 774.090 uA	 64.50750000 uA/um
94	 1.5000 V	 0 V	 1.5000 V	 0 V	 778.400 uA	 64.86666667 uA/um
95	 1.5000 V	 0 V	 1.6000 V	 0 V	 782.430 uA	 65.20250000 uA/um
96	 1.5000 V	 0 V	 1.7000 V	 0 V	 786.120 uA	 65.51000000 uA/um
97	 1.5000 V	 0 V	 1.8000 V	 0 V	 789.550 uA	 65.79583333 uA/um
98	 1.5000 V	 0 V	 1.9000 V	 0 V	 792.810 uA	 66.06750000 uA/um
99	 1.5000 V	 0 V	 2.0000 V	 0 V	 795.900 uA	 66.32500000 uA/um
100	 1.5000 V	 0 V	 2.1000 V	 0 V	 798.780 uA	 66.56500000 uA/um
101	 1.5000 V	 0 V	 2.2000 V	 0 V	 801.530 uA	 66.79416667 uA/um
102	 1.5000 V	 0 V	 2.3000 V	 0 V	 804.140 uA	 67.01166667 uA/um
103	 1.5000 V	 0 V	 2.4000 V	 0 V	 806.620 uA	 67.21833333 uA/um
104	 1.5000 V	 0 V	 2.5000 V	 0 V	 809.010 uA	 67.41750000 uA/um
105	 2.0000 V	 0 V	 0 V	 0 V	 748.620 nA	 62.38500000 nA/um
106	 2.0000 V	 0 V	 100.0 mV	 0 V	 279.090 uA	 23.25750000 uA/um
107	 2.0000 V	 0 V	 200.0 mV	 0 V	 535.310 uA	 44.60916667 uA/um
108	 2.0000 V	 0 V	 300.0 mV	 0 V	 762.850 uA	 63.57083333 uA/um
109	 2.0000 V	 0 V	 400.0 mV	 0 V	 956.960 uA	 79.74666667 uA/um
110	 2.0000 V	 0 V	 500.0 mV	 0 V	 1.114860 mA	 92.90500000 uA/um
111	 2.0000 V	 0 V	 600.0 mV	 0 V	 1.23600 mA	 103.0000000 uA/um
112	 2.0000 V	 0 V	 700.0 mV	 0 V	 1.32430 mA	 110.3583333 uA/um
113	 2.0000 V	 0 V	 800.0 mV	 0 V	 1.38510 mA	 115.4250000 uA/um
114	 2.0000 V	 0 V	 900.0 mV	 0 V	 1.42570 mA	 118.8083333 uA/um
115	 2.0000 V	 0 V	 1.0000 V	 0 V	 1.45350 mA	 121.1250000 uA/um
116	 2.0000 V	 0 V	 1.1000 V	 0 V	 1.47290 mA	 122.7416667 uA/um
117	 2.0000 V	 0 V	 1.2000 V	 0 V	 1.48750 mA	 123.9583333 uA/um
118	 2.0000 V	 0 V	 1.3000 V	 0 V	 1.49900 mA	 124.9166667 uA/um
119	 2.0000 V	 0 V	 1.4000 V	 0 V	 1.50840 mA	 125.7000000 uA/um
120	 2.0000 V	 0 V	 1.5000 V	 0 V	 1.51660 mA	 126.3833333 uA/um
121	 2.0000 V	 0 V	 1.6000 V	 0 V	 1.52360 mA	 126.9666667 uA/um
122	 2.0000 V	 0 V	 1.7000 V	 0 V	 1.53010 mA	 127.5083333 uA/um
123	 2.0000 V	 0 V	 1.8000 V	 0 V	 1.53560 mA	 127.9666667 uA/um
124	 2.0000 V	 0 V	 1.9000 V	 0 V	 1.54090 mA	 128.4083333 uA/um
125	 2.0000 V	 0 V	 2.0000 V	 0 V	 1.54580 mA	 128.8166667 uA/um
126	 2.0000 V	 0 V	 2.1000 V	 0 V	 1.55000 mA	 129.1666667 uA/um
127	 2.0000 V	 0 V	 2.2000 V	 0 V	 1.55400 mA	 129.5000000 uA/um
128	 2.0000 V	 0 V	 2.3000 V	 0 V	 1.55780 mA	 129.8166667 uA/um
129	 2.0000 V	 0 V	 2.4000 V	 0 V	 1.56140 mA	 130.1166667 uA/um
130	 2.0000 V	 0 V	 2.5000 V	 0 V	 1.56440 mA	 130.3666667 uA/um
131	 2.5000 V	 0 V	 0 V	 0 V	 789.760 nA	 65.81333333 nA/um
132	 2.5000 V	 0 V	 100.0 mV	 0 V	 336.560 uA	 28.04666667 uA/um
133	 2.5000 V	 0 V	 200.0 mV	 0 V	 654.570 uA	 54.54750000 uA/um
134	 2.5000 V	 0 V	 300.0 mV	 0 V	 948.940 uA	 79.07833333 uA/um
135	 2.5000 V	 0 V	 400.0 mV	 0 V	 1.21530 mA	 101.2750000 uA/um
136	 2.5000 V	 0 V	 500.0 mV	 0 V	 1.44960 mA	 120.8000000 uA/um
137	 2.5000 V	 0 V	 600.0 mV	 0 V	 1.65030 mA	 137.5250000 uA/um
138	 2.5000 V	 0 V	 700.0 mV	 0 V	 1.81610 mA	 151.3416667 uA/um
139	 2.5000 V	 0 V	 800.0 mV	 0 V	 1.94880 mA	 162.4000000 uA/um
140	 2.5000 V	 0 V	 900.0 mV	 0 V	 2.05060 mA	 170.8833333 uA/um
141	 2.5000 V	 0 V	 1.0000 V	 0 V	 2.12650 mA	 177.2083333 uA/um
142	 2.5000 V	 0 V	 1.1000 V	 0 V	 2.18160 mA	 181.8000000 uA/um
143	 2.5000 V	 0 V	 1.2000 V	 0 V	 2.22110 mA	 185.0916667 uA/um
144	 2.5000 V	 0 V	 1.3000 V	 0 V	 2.24990 mA	 187.4916667 uA/um
145	 2.5000 V	 0 V	 1.4000 V	 0 V	 2.27140 mA	 189.2833333 uA/um
146	 2.5000 V	 0 V	 1.5000 V	 0 V	 2.28790 mA	 190.6583333 uA/um
147	 2.5000 V	 0 V	 1.6000 V	 0 V	 2.30100 mA	 191.7500000 uA/um
148	 2.5000 V	 0 V	 1.7000 V	 0 V	 2.31200 mA	 192.6666667 uA/um
149	 2.5000 V	 0 V	 1.8000 V	 0 V	 2.32130 mA	 193.4416667 uA/um
150	 2.5000 V	 0 V	 1.9000 V	 0 V	 2.32950 mA	 194.1250000 uA/um
151	 2.5000 V	 0 V	 2.0000 V	 0 V	 2.33660 mA	 194.7166667 uA/um
152	 2.5000 V	 0 V	 2.1000 V	 0 V	 2.34280 mA	 195.2333333 uA/um
153	 2.5000 V	 0 V	 2.2000 V	 0 V	 2.34860 mA	 195.7166667 uA/um
154	 2.5000 V	 0 V	 2.3000 V	 0 V	 2.35360 mA	 196.1333333 uA/um
155	 2.5000 V	 0 V	 2.4000 V	 0 V	 2.35830 mA	 196.5250000 uA/um
156	 2.5000 V	 0 V	 2.5000 V	 0 V	 2.36280 mA	 196.9000000 uA/um
